make,model_canonical,aliases,override_type,override_value,match_motive_power,match_import_status,match_vehicle_type,match_vehicle_year_min,match_vehicle_year_max,note
KGM,REXTON,SSANGYONG REXTON,rename,,,,,,,Brand renamed; nameplate continuous. Prevents a false retire+launch pair.
MG,ZS,,badge_twin,,,,,,,Petrol and EV ZS share a nameplate but are different vehicles. Split on powertrain before treating as one model.
TOYOTA,YARIS CROSS,,distinct_nameplate,,,,,,,Not a Yaris variant. Do not let fuzzy matching collapse it into YARIS.
TOYOTA,LAND CRUISER PRADO,PRADO,distinct_nameplate,,,,,,,Separate nameplate from LAND CRUISER.
NISSAN,X-TRAIL,XTRAIL,alias,,,,,,,Recorded both ways.
MAZDA,CX-5,CX5,alias,,,,,,,Recorded both ways.
BYD,ATTO 3,ATTO3,alias,,,,,,,"Sourcing moved China to Thailand in 2026; nameplate continuous, built_in changes."
HOLDEN,COMMODORE,,retired,2020-12-31,,,,,,Nameplate ended with the brand. Used imports may still appear after this date.
GWM,H6,HAVAL H6|H6-SERIES,make_promotion,HAVAL,,,,,,"Sub-brand recorded as a model. RULE for every make_promotion row: a vehicle whose make resolves to this row's make (after brand_registry aliases, so GREAT WALL counts as GWM) and whose MODEL equals model_canonical or any alias becomes make = override_value, model = model_canonical. A match_ column narrows the match; blank means any. Applied before any brand attribute lookup. A recording artefact (the vehicle always wore the sub-brand's badge) is promoted in every vehicle year; a brand split only from the split's vehicle year (docs/MODEL_AND_AGE.md section 4). model_canonical is a match key too, so it must never be a different model's name under the same make. In scope at 2026-08: HAVAL H6 4,760 rows (2,384 in the last 12 months), H6 131, H6-SERIES 2."
GWM,JOLION,HAVAL JOLION,make_promotion,HAVAL,,,,,,"Sub-brand recorded as a model; make_promotion rule above. In scope at 2026-08: HAVAL JOLION 2,638 (901 in the last 12 months), JOLION 139 (116)."
GWM,ORA,,make_promotion,ORA,,,,,,"Sub-brand recorded as a model; make_promotion rule above. The register holds no model name beyond the brand, so the model stays ORA. In scope at 2026-08: 707 (185 in the last 12 months)."
GWM,TANK,,make_promotion,TANK,,,,,,"Sub-brand recorded as a model; make_promotion rule above. Keyed on make: TOYOTA TANK is a Toyota model and is untouched. In scope at 2026-08: 1,347 (515 in the last 12 months)."
BMW,MINI,,make_promotion,MINI,,,,,,"Recording artefact: promoted in every vehicle year. The register holds no model name beyond the brand, so the model stays MINI. registrations_surviving at 2026-08: 6,516 (599 in the last 12 months), all but 2 with a vehicle year of 2001 or later. MINI 16,372 -> 22,888 all-time, 1,217 -> 1,816 in the last 12 months."
